Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureNumberSamplesByCoverage,measureTrueCoverage,measureOutOfBagError
abalone19,1,1,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,829.0,6.0,0.0,99.2814371257485,0.718562874251497,0.0,0.0,0.0148776654776382,0.08579298825740252,98.19656966725597,101.56894858297116,51.41164970513574,1115.7005994828344,-1064.2889497776987,0.06157083797022244,1.3361683826141728,-1.2745975446439506,-262.0291391864355,-0.3138073523190844,-509.6688020891503,0.0,0.0,0.0,0.0,1.0,829.0,1.0,6.0,NaN,0.0,NaN,NaN,0.6487736228387616,0.01077890625915223,0.9928143712574851,0.9928143712574851,0.00718562874251497,0.00718562874251497,NaN,0.9928143712574851,NaN,NaN,0.6487736228387616,0.9883384344271179,NaN,0.9928143712574851,0.206,0.107,0.15,0.02,150.0,20.0,5057.0,338825.0,85921.0,99.2814371257485,50.538922155688624,'Number of leaves: 6\nSize of the tree: 10\n',10.0,6.0,6.0,?,?,?
abalone19,1,2,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,829.0,6.0,0.0,99.2814371257485,0.718562874251497,0.0,0.0,0.014646214058540033,0.08437458813523287,96.66892842312265,99.8897273318534,51.41164970513574,1113.4698766000176,-1062.058226894882,0.06157083797022244,1.333496858203614,-1.2719260202333915,-352.6586988161612,-0.422345747085223,-685.9509485472367,0.0,0.0,0.0,0.0,1.0,829.0,1.0,6.0,NaN,0.0,NaN,NaN,0.6337957378367511,0.010731242807029313,0.9928143712574851,0.9928143712574851,0.00718562874251497,0.00718562874251497,NaN,0.9928143712574851,NaN,NaN,0.6337957378367511,0.9878774211664233,NaN,0.9928143712574851,0.073,0.005,0.07,0.0,70.0,0.0,4855.0,338825.0,85921.0,99.2814371257485,50.0,'Number of leaves: 6\nSize of the tree: 9\n',9.0,6.0,6.0,?,?,?
abalone19,1,3,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,828.0,7.0,0.0,99.16167664670658,0.8383233532934131,0.0,0.0,0.016020008347446574,0.09092367823144816,99.90740166580363,99.72173923699307,58.37185285775388,1118.885850824876,-1060.5139979671221,0.06990641060808848,1.3399830548800908,-1.2700766442720026,-382.543509986104,-0.4581359401031186,-655.3561198722314,0.0,0.0,0.0,0.0,1.0,828.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6983264320220842,0.015987132994581512,0.9916167664670659,0.9916167664670659,0.008383233532934131,0.008383233532934131,NaN,0.9916167664670659,NaN,NaN,0.6983264320220842,0.9867967957813276,NaN,0.9916167664670659,0.089,0.003,0.08,0.01,80.0,10.0,5235.0,338825.0,85921.0,99.16167664670658,50.0,'Number of leaves: 7\nSize of the tree: 11\n',11.0,7.0,7.0,?,?,?
abalone19,1,4,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,826.0,9.0,0.0,98.92215568862275,1.0778443113772456,0.0,-0.003739815680511091,0.017119130759287598,0.10377735330136502,106.76198387937599,113.81917632369411,58.37185285775388,2203.6989885104613,-2145.3271356527075,0.06990641060808848,2.6391604652819893,-2.5692540546739013,-234.92243439407133,-0.28134423280727106,-402.458415987844,0.0,0.0,0.0024154589371980675,2.0,0.9975845410628019,826.0,1.0,7.0,0.0,0.0,0.0,-0.004505327320203121,0.7296411318150449,0.01736871683902629,0.9892215568862276,0.9916370158234256,0.008362984176574387,0.010778443113772455,0.983283852463141,0.9892215568862276,0.986243767732446,-0.004505327320203121,0.7296411318150449,0.988069749435116,0.49729078868151716,0.9892215568862276,0.085,0.004,0.09,0.0,90.0,0.0,6375.0,338825.0,85921.0,98.92215568862275,50.538922155688624,'Number of leaves: 10\nSize of the tree: 17\n',17.0,10.0,10.0,?,?,?
abalone19,1,5,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3340.0,834.0,828.0,6.0,0.0,99.28057553956835,0.7194244604316546,0.0,0.0,0.014635475284482474,0.08497675455186444,96.55921627187745,100.54294464939004,51.39962171009137,3250.7343988683324,-3199.334777158241,0.061630241858622745,3.897763068187449,-3.8361328263288264,-333.62034556152634,-0.40002439515770544,-649.0715971476229,0.0,0.0,0.0,0.0,1.0,828.0,1.0,6.0,NaN,0.0,NaN,NaN,0.4188808373590982,0.007275496055437726,0.9928057553956835,0.9928057553956835,0.007194244604316547,0.007194244604316547,NaN,0.9928057553956835,NaN,NaN,0.4188808373590982,0.9833160091330807,NaN,0.9928057553956835,0.074,0.003,0.07,0.0,70.0,0.0,4855.0,338926.0,85820.0,99.28057553956835,50.0,'Number of leaves: 6\nSize of the tree: 9\n',9.0,6.0,6.0,?,?,?
abalone19,2,1,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,828.0,7.0,0.0,99.16167664670658,0.8383233532934131,0.0,-0.002057260414879854,0.014496200247286652,0.09089150550677055,95.67879716295053,107.60500172517854,51.41164970513574,1118.3076616600824,-1066.8960119549467,0.06157083797022244,1.3392906127665658,-1.2777197747963434,-265.4871599124656,-0.3179486945059468,-516.3949444048766,0.0,0.0,0.0012062726176115801,1.0,0.9987937273823885,828.0,1.0,6.0,0.0,0.0,0.0,-0.0029458819172850275,0.7945315641334941,0.01798429715976437,0.9916167664670659,0.9928230390846775,0.007176960915322552,0.008383233532934131,0.9856718218239781,0.9916167664670659,0.9886353570669845,-0.0029458819172850275,0.7945315641334941,0.9905324065947686,0.4978953698135899,0.9916167664670659,0.083,0.003,0.06,0.01,60.0,10.0,7135.0,338825.0,85921.0,99.16167664670658,50.0,'Number of leaves: 12\nSize of the tree: 21\n',21.0,12.0,12.0,?,?,?
abalone19,2,2,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,829.0,6.0,0.0,99.2814371257485,0.718562874251497,0.0,0.0,0.014840024175874763,0.08437332721757007,97.94812701228868,99.88823455157075,51.41164970513574,1113.5556763341883,-1062.1440266290526,0.06157083797022244,1.3335996123762734,-1.272028774406051,-366.7676689480952,-0.43924271730310804,-713.3940868492637,0.0,0.0,0.0,0.0,1.0,829.0,1.0,6.0,NaN,0.0,NaN,NaN,0.623642943305187,0.010324469881687812,0.9928143712574851,0.9928143712574851,0.00718562874251497,0.00718562874251497,NaN,0.9928143712574851,NaN,NaN,0.623642943305187,0.9877774021008996,NaN,0.9928143712574851,0.032,0.002,0.03,0.0,30.0,0.0,4855.0,338825.0,85921.0,99.2814371257485,50.0,'Number of leaves: 6\nSize of the tree: 9\n',9.0,6.0,6.0,?,?,?
abalone19,2,3,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,828.0,7.0,0.0,99.16167664670658,0.8383233532934131,0.0,0.0,0.016035118050019462,0.09092374620551874,100.00163202394455,99.72181378844846,58.37185285775388,53.07833826161563,5.293514596138252,0.06990641060808848,0.06356687216959955,0.0063395384384889245,-352.1944164228953,-0.4217897202669405,-603.3634349095554,0.0,0.0,0.0,0.0,1.0,828.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6963423050379572,0.014429782388248769,0.9916167664670659,0.9916167664670659,0.008383233532934131,0.008383233532934131,NaN,0.9916167664670659,NaN,NaN,0.6963423050379571,0.9876107897957506,NaN,0.9916167664670659,0.02,0.002,0.02,0.0,20.0,0.0,4855.0,338825.0,85921.0,99.16167664670658,50.0,'Number of leaves: 6\nSize of the tree: 9\n',9.0,6.0,6.0,?,?,?
abalone19,2,4,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3339.0,835.0,828.0,7.0,0.0,99.16167664670658,0.8383233532934131,0.0,0.0,0.015459077333383024,0.09109952396140757,96.40920373023351,99.91460035271162,58.37185285775388,58.05078654983036,0.3210663079235161,0.06990641060808848,0.06952190005967708,3.845105484113965E-4,-309.83640682109296,-0.37106156505520116,-530.797621888296,0.0,0.0,0.0,0.0,1.0,828.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6844375431331953,0.013851528784251424,0.9916167664670659,0.9916167664670659,0.008383233532934131,0.008383233532934131,NaN,0.9916167664670659,NaN,NaN,0.6844375431331953,0.9875370054646729,NaN,0.9916167664670659,0.024,0.003,0.02,0.0,20.0,0.0,4855.0,338825.0,85921.0,99.16167664670658,50.0,'Number of leaves: 6\nSize of the tree: 9\n',9.0,6.0,6.0,?,?,?
abalone19,2,5,weka.classifiers.trees.J48,'-O -U -M 2',-217733168393644444,2.0230523150399998E7,3340.0,834.0,828.0,6.0,0.0,99.28057553956835,0.7194244604316546,0.0,0.0,0.014821333787704562,0.08568482842622258,97.78543893016152,101.38072473092774,51.39962171009137,2181.733554387459,-2130.333932677368,0.061630241858622745,2.615987475284723,-2.5543572334261007,-326.72508694494184,-0.3917566989747504,-635.6565983846441,0.0,0.0,0.0,0.0,1.0,828.0,1.0,6.0,NaN,0.0,NaN,NaN,0.6056763285024155,0.009568604637391296,0.9928057553956835,0.9928057553956835,0.007194244604316547,0.007194244604316547,NaN,0.9928057553956835,NaN,NaN,0.6056763285024155,0.9874614349137746,NaN,0.9928057553956835,0.032,0.008,0.03,0.0,30.0,0.0,5057.0,338926.0,85820.0,99.28057553956835,50.47961630695443,'Number of leaves: 6\nSize of the tree: 10\n',10.0,6.0,6.0,?,?,?
